[2014-06-28 18:45:26] EDIT tcc/controllers/default.py: 0
[2014-06-28 18:45:26] EDIT tcc/controllers/default.py: 0
[2014-06-28 18:45:27] EDIT tcc/controllers/default.py: 0
[2014-06-28 18:45:44] EDIT tcc/controllers/default.py: 0
[2014-06-28 18:45:44] EDIT tcc/controllers/default.py: 0
[2014-06-28 18:45:45] EDIT tcc/controllers/default.py: 0
[2014-06-28 18:55:52] EDIT tcc/controllers/default.py: 0
[2014-06-28 18:55:53] EDIT tcc/controllers/default.py: 0
[2014-06-28 18:55:53] EDIT tcc/controllers/default.py: 0
[2014-06-28 18:57:27] EDIT tcc/controllers/default.py: 0
[2014-06-28 18:57:28] EDIT tcc/controllers/default.py: 0
[2014-06-28 18:57:28] EDIT tcc/controllers/default.py: 0
[2014-06-28 18:57:47] EDIT tcc/controllers/default.py: 0
[2014-06-28 18:58:34] EDIT tcc/controllers/default.py: 0
[2014-06-28 19:07:05] EDIT tcc/controllers/default.py: 0
[2014-06-28 19:07:06] EDIT tcc/controllers/default.py: 0
[2014-06-28 19:07:06] EDIT tcc/controllers/default.py: 0
[2014-06-28 19:07:06] EDIT tcc/controllers/default.py: 0
[2014-06-28 19:09:08] EDIT tcc/controllers/default.py: 0
[2014-06-28 19:09:35] EDIT tcc/controllers/default.py: 0
[2014-06-28 19:10:08] EDIT tcc/controllers/default.py: 0
[2014-06-28 19:25:34] EDIT tcc/models/db_model.py: 6
[2014-06-28 19:25:35] EDIT tcc/models/db_model.py: 0
[2014-06-28 19:31:51] EDIT tcc/controllers/default.py: 1
[2014-06-28 19:31:52] EDIT tcc/controllers/default.py: 0
[2014-06-28 19:32:27] EDIT tcc/models/db_model.py: 1
[2014-06-28 19:32:27] EDIT tcc/models/db_model.py: 0
[2014-06-28 19:32:27] EDIT tcc/models/db_model.py: 0
[2014-06-28 19:32:28] EDIT tcc/models/db_model.py: 0
[2014-06-28 19:32:28] EDIT tcc/models/db_model.py: 0
[2014-06-28 19:32:28] EDIT tcc/models/db_model.py: 0
[2014-06-28 19:37:07] EDIT tcc/controllers/default.py: 0
[2014-06-28 19:37:07] EDIT tcc/controllers/default.py: 0
[2014-06-28 19:37:08] EDIT tcc/controllers/default.py: 0
[2014-06-28 19:37:08] EDIT tcc/controllers/default.py: 0
[2014-06-28 19:39:09] EDIT tcc/controllers/default.py: -1
[2014-06-28 19:39:10] EDIT tcc/controllers/default.py: 0
[2014-06-28 19:39:20] EDIT tcc/controllers/default.py: 0
[2014-06-28 19:39:29] EDIT tcc/controllers/default.py: -1
[2014-06-28 19:39:29] EDIT tcc/controllers/default.py: 0
[2014-06-28 19:39:47] EDIT tcc/controllers/default.py: 0
[2014-06-28 19:39:48] EDIT tcc/controllers/default.py: 0
[2014-06-28 19:39:48] EDIT tcc/controllers/default.py: 0
[2014-06-28 19:39:48] EDIT tcc/controllers/default.py: 0
[2014-06-28 19:46:11] EDIT tcc/controllers/default.py: 0
[2014-06-28 19:54:36] EDIT tcc/models/db_model.py: 0
[2014-06-28 19:54:36] EDIT tcc/models/db_model.py: 0
[2014-06-28 19:54:37] EDIT tcc/models/db_model.py: 0
[2014-06-28 19:54:37] EDIT tcc/models/db_model.py: 0
[2014-06-28 19:54:37] EDIT tcc/models/db_model.py: 0
[2014-06-28 19:55:15] EDIT tcc/controllers/default.py: 0
[2014-06-28 19:55:15] EDIT tcc/controllers/default.py: 0
[2014-06-28 19:55:15] EDIT tcc/controllers/default.py: 0
[2014-06-30 10:13:59] CREATE add_simulation_from_benchmark.html: 0
[2014-06-30 10:15:32] EDIT tcc/views/add_simulation_from_benchmark.html: -1
[2014-06-30 10:16:04] DELETE tcc/views/add_simulation_from_benchmark.html: -2
[2014-06-30 10:16:22] CREATE default/add_simulation_from_benchmark.html: 0
[2014-06-30 10:16:36] EDIT tcc/views/default/add_simulation_from_benchmark.html: -1
[2014-06-30 10:19:50] EDIT tcc/controllers/default.py: 2
[2014-06-30 10:19:50] EDIT tcc/controllers/default.py: 0
[2014-06-30 10:38:35] EDIT tcc/models/db.py: 4
[2014-06-30 10:43:16] EDIT tcc/models/db.py: 0
[2014-06-30 10:43:17] EDIT tcc/models/db.py: 0
[2014-06-30 10:43:17] EDIT tcc/models/db.py: 0
[2014-06-30 10:43:17] EDIT tcc/models/db.py: 0
[2014-06-30 10:44:50] EDIT tcc/models/db.py: 0
[2014-06-30 10:44:50] EDIT tcc/models/db.py: 0
[2014-06-30 10:44:50] EDIT tcc/models/db.py: 0
[2014-06-30 10:51:14] EDIT tcc/models/db.py: -2
[2014-07-01 09:44:29] EDIT tcc/controllers/default.py: -1
[2014-07-01 09:44:29] EDIT tcc/controllers/default.py: 0
[2014-07-01 09:44:30] EDIT tcc/controllers/default.py: 0
[2014-07-02 00:31:16] EDIT tcc/models/menu.py: 0
